2015-04-16 09:32:46.0180|WARN|thread: 1|StandardUserErrors|Showing user error Failed to create a new commit.
GitHub.IO.ProcessException: fatal: pathspec 'aGroupProject/web/search.xhtml' did not match any files
2015-04-16 08:54:13.8110|INFO|thread: 1|CommandLineHandler|Parsing command line arguments:D:\Users\it3530218\AppData\Local\Apps\2.0\A57LPJ9Q.W65\EWC7JTK3.DP7\gith..tion_317444273a93ac29_0002.000d_7c798cfff9a06ed4\GitHub.exe
2015-04-16 08:54:13.8218|INFO|thread: 1|AppInstanceCommunicator|An instance of GitHub for Windows is already running. Checking to see if we should pass control...
2015-04-16 08:54:13.8218|INFO|thread: 1|AppInstanceCommunicator|Not a call to clone a repo, so just run the app as usual.
2015-04-16 08:54:13.8735|INFO|thread: 4|StartupLogging| #########################################
2015-04-16 08:54:13.8735|INFO|thread: 4|StartupLogging| GitHub for Windows started. VERSION: 2.13.1.2
2015-04-16 08:54:13.8735|INFO|thread: 4|StartupLogging| Build version: 21ce1faec1d5642a5b6160cc2c33c7cdbbc01d4c
2015-04-16 08:54:13.8735|INFO|thread: 4|StartupLogging| ***************************************
2015-04-16 08:54:13.8735|INFO|thread: 4|StartupLogging| ***                                 ***
2015-04-16 08:54:13.8735|INFO|thread: 4|StartupLogging| ***                                 ***
2015-04-16 08:54:13.8735|INFO|thread: 4|StartupLogging| ***        Have a problem?          ***
2015-04-16 08:54:13.8735|INFO|thread: 4|StartupLogging| ***    Email support@github.com     ***
2015-04-16 08:54:13.8735|INFO|thread: 4|StartupLogging| ***      and include this file      ***
2015-04-16 08:54:13.8735|INFO|thread: 4|StartupLogging| ***                                 ***
2015-04-16 08:54:13.8735|INFO|thread: 4|StartupLogging| ***                                 ***
2015-04-16 08:54:13.8735|INFO|thread: 4|StartupLogging| ***************************************
2015-04-16 08:54:13.8735|INFO|thread: 4|StartupLogging| OS Version: Windows 7 Service Pack 1 6.1.7601.65536 x86
2015-04-16 08:54:13.8735|INFO|thread: 4|StartupLogging| CLR Version: 4.0.30319.18063
2015-04-16 08:54:13.8735|INFO|thread: 4|StartupLogging| Current culture: en-US
2015-04-16 08:54:13.8735|INFO|thread: 4|StartupLogging| Terminal Services session: no
2015-04-16 08:54:13.8735|INFO|thread: 4|StartupLogging| Location: D:\Users\it3530218\AppData\Local\Apps\2.0\A57LPJ9Q.W65\EWC7JTK3.DP7\gith..tion_317444273a93ac29_0002.000d_7c798cfff9a06ed4\GitHub.exe
2015-04-16 08:54:13.8833|INFO|thread: 4|StartupLogging| ActivationUri: https://github-windows.s3.amazonaws.com/GitHub.application
2015-04-16 08:54:13.9018|INFO|thread: 4|GitEnvironment|Process set up with this SSH Agent info: 4056:/tmp/ssh-heORl7xFTR1i/agent.1736
2015-04-16 08:54:13.9018|INFO|thread: 4|GitEnvironment|PATH is D:\Users\it3530218\AppData\Local\GitHub\PortableGit_c2ba306e536fdf878271f7fe636a147ff37326ad\cmd;D:\Users\it3530218\AppData\Local\GitHub\PortableGit_c2ba306e536fdf878271f7fe636a147ff37326ad\bin;D:\Users\it3530218\AppData\Local\Apps\2.0\A57LPJ9Q.W65\EWC7JTK3.DP7\gith..tion_317444273a93ac29_0002.000d_7c798cfff9a06ed4;D:\Users\it3530218\AppData\Local\GitHub\lfs-x86_0.5.0-pre2;C:\Windows\Microsoft.NET\Framework\v4.0.30319;C:\oracle\app\product\11.2.0\client_1\bin;C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;C:\Program Files\Microsoft\Web Platform Installer\;C:\Program Files\Microsoft ASP.NET\ASP.NET Web Pages\v1.0\;C:\Program Files\Windows Kits\8.0\Windows Performance Toolkit\;C:\Program Files\Microsoft SQL Server\110\Tools\Binn\;C:\IBM\SQLLIB\BIN;C:\IBM\SQLLIB\FUNCTION;C:\Program Files\Rational\common;C:\Program Files\PharosSystems\Core;c:\Program Files\Microsoft SQL Server\100\Tools\Binn\VSShell\Common7\IDE\;c:\Program Files\Microsoft SQL Server\100\Tools\Binn\;c:\Program Files\Microsoft SQL Server\100\DTS\Binn\
2015-04-16 08:54:13.9018|INFO|thread: 4|StartupLogging| =====================================================
2015-04-16 08:54:13.9018|INFO|thread: 4|StartupLogging|  DIAGNOSTICS                                        |
2015-04-16 08:54:13.9018|INFO|thread: 4|StartupLogging| =====================================================
2015-04-16 08:54:13.9018|INFO|thread: 4|StartupLogging| Git Extracted: 'True:
2015-04-16 08:54:13.9018|INFO|thread: 4|StartupLogging| PortableGit Dir Exists: 'D:\Users\it3530218\AppData\Local\GitHub\PortableGit_c2ba306e536fdf878271f7fe636a147ff37326ad'
2015-04-16 08:54:13.9145|INFO|thread: 4|StartupLogging| Git Executable Exists: 'D:\Users\it3530218\AppData\Local\GitHub\PortableGit_c2ba306e536fdf878271f7fe636a147ff37326ad\bin\git.exe'
2015-04-16 08:54:13.9145|ERROR|thread: 4|StartupLogging| MISSING PATH!!: 'C:\Program Files\PharosSystems\Core'
2015-04-16 08:54:13.9468|INFO|thread: 4|StartupLogging| ----------------------------------------------------
2015-04-16 08:54:13.9468|INFO|thread: 4|StartupLogging| PATH: C:\oracle\app\product\11.2.0\client_1\bin;C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;C:\Program Files\Microsoft\Web Platform Installer\;C:\Program Files\Microsoft ASP.NET\ASP.NET Web Pages\v1.0\;C:\Program Files\Windows Kits\8.0\Windows Performance Toolkit\;C:\Program Files\Microsoft SQL Server\110\Tools\Binn\;C:\IBM\SQLLIB\BIN;C:\IBM\SQLLIB\FUNCTION;C:\Program Files\Rational\common;C:\Program Files\PharosSystems\Core;c:\Program Files\Microsoft SQL Server\100\Tools\Binn\VSShell\Common7\IDE\;c:\Program Files\Microsoft SQL Server\100\Tools\Binn\;c:\Program Files\Microsoft SQL Server\100\DTS\Binn\
2015-04-16 08:54:14.0044|INFO|thread: 1|HardwareRenderingHelper|Your video card appears to support hardware rendering. If this isn't the case and you see glitches
2015-04-16 08:54:14.0044|INFO|thread: 1|HardwareRenderingHelper|set the GH_FORCE_SW_RENDERING environment variable to 1
2015-04-16 08:54:14.1509|INFO|thread: 4|StartupLogger|Proxy information: (None)
2015-04-16 08:54:14.1509|INFO|thread: 4|StartupLogger|Couldn't fetch creds for proxy
2015-04-16 08:54:14.4917|INFO|thread: 1|App|Checking whether application is network deployed.
2015-04-16 08:54:14.5229|INFO|thread: 4|PortablePackageManager|Already extracted PortableGit.7z, returning 100%
2015-04-16 08:54:14.5669|INFO|thread: 1|ClickOnceAppIconHelper|Updating registry with our application icon 'D:\Users\it3530218\AppData\Local\Apps\2.0\A57LPJ9Q.W65\EWC7JTK3.DP7\gith..tion_317444273a93ac29_0002.000d_7c798cfff9a06ed4\Images\App.ico'
2015-04-16 08:54:14.7388|INFO|thread: 4|MsysGitCertificateInstaller|Found certificate cache, loaded 162 certificates
2015-04-16 08:54:14.7388|INFO|thread: 4|MsysGitCertificateInstaller|Created certificate bundle with 169 entries
